parksid,gardenname,jurisdiction,borough,address,cross_streets,zipcode,bbl,lotsize,areacovered,status,openhrssu,openhrsm,openhrstu,openhrsw,openhrsth,openhrsf,openhrssa,coundist,communityboard,nta,census_tract,congressionaldist,assemblydist,statesenatedist,policeprecinct,longitude,latitude,point_geometry_wgs84
B460-GT001,Elton Street Community Garden,DPR,Brooklyn,585 Elton Street,Blake & Dumont Avenues,11208,3040660002,,,Active,CLOSED,9:00 a.m. - 1:00 p.m.,9:00 a.m. - 1:00 p.m.,9:00 a.m. - 1:00 p.m.,9:00 a.m. - 1:00 p.m.,9:00 a.m. - 1:00 p.m,10:00 a.m. - 2:00 p.m.,42,305,BK82 /,1164.0,8,60,19,75,-73.881836,40.668635,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xDF\x1BC\x00pxR\xC0\x02\xFB\xE8\xD4\x95UD@
B456-GT001,Walt L. Shamel Community Garden,DPR,Brooklyn,1095 Dean Street,Bedford/ Franklin,11216,3012050044,3500.0,Full Lot,Active,12:00 p.m.- 6:00 p.m.,CLOSED,CLOSED,12:00 p.m.- 6:00 p.m.,CLOSED,CLOSED,12:00 p.m.- 6:00 p.m.,35,308,BK61 /,221.0,9,57,20,77,-73.953785,40.677252,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x95\x9A=\xD0\x0A}R\xC0I\x93\x8B1\xB0VD@
B453-GT001,Montauk Atkins Community Garden,DPR,Brooklyn,214 Montauk Avenue,Pitkin & Belmont Avenues,11208,3040230028,2883.0,Full Lot,Active,10:00 a.m. - 1:00 p.m.,10:00 a.m. - 1:00 p.m.,10:00 a.m. - 1:00 p.m.,10:00 a.m. - 1:00 p.m.,10:00 a.m. - 1:00 p.m.,10:00 a.m. - 1:00 p.m.,3:00 p.m. - 7:00 p.m.,42,305,BK82 /,1194.0,8,54,19,75,-73.87789,40.673887,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x11\xDF\x89Y/xR\xC0\x8B\x19\xE1\xEDAVD@
B439-GT001,All People's Community Garden,DPR,Brooklyn,149 Tompkins Avenue,At Willoughby,11206,3017600001,2805.0,Full Lot,Active,,7:00am - 11:00am & 1:00pm - 6:00pm,7:00am - 11:00am & 1:00pm - 6:00pm,7:00am - 11:00am & 1:00pm - 6:00pm,7:00am - 11:00am & 1:00pm - 6:00pm,7:00am - 11:00am & 1:00pm - 6:00pm,,36,303,BK75 /,259.01,8,56,25,79,-73.945843,40.694396,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xA2\x09\x14\xB1\x88|R\xC0\x90<\xD7\xF7\xE1XD@
B421-GT001,Brooklyn Bears/Carlton Avenue Garden,DPR,Brooklyn,397 Carlton Avenue,Greene Avenue & Fulton Street,11238,3019570021,,,Active,10:00 a.m. - 3:00 p.m.,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,10:00 a.m. - 3:00 p.m.,35,302,BK68 /,179.0,7,57,25,88,-73.971097,40.685761,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x99\x0F\x08t&~R\xC0\xA4\xEF5\x04\xC7WD@
B416-GT001,TLC Sculpture Park Garden,DPR,Brooklyn,275 Glenmore Avenue,Hinsdale & Williams,11207,3036990037,,,Active,11:00 a.m. - 6:00 p.m.,,,12:00 p.m.  -  6:00 p.m.,,,11:00 a.m. - 6:00 p.m.,37,305,BK85 /,1144.0,8,55,19,75,-73.90056,40.672731,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00}\x05i\xC6\xA2yR\xC0\xB1\x00\xA6\x0C\x1CVD@
B415-GT001,Georgia Avenue Community Garden,DPR,Brooklyn,328 New Lots Avenue,At Georgia Avenue,11207,3042970001,,,Active,CLOSED,9:30 a.m. - 2:30 p.m.,CLOSED,9:30 a.m. - 2:30 p.m.,CLOSED,9:30 a.m. - 2:30 p.m.,10:00 a.m. -  3:00 p.m.,42,305,BK85 /,1128.0,8,60,19,75,-73.894443,40.661005,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xB6H\xDA\x8D>yR\xC0\x09\xBF\xD4\xCF\x9BTD@
B414-GT001,East 4th Street Community Garden (Windsor Terrace Kensington Veterans Memorial),DPR,Brooklyn,171 E 4th Street,Ft. Hamilton Pkwy & Caton Avenue,11218,3053180038,8400.0,Full Lot,Active,10:00 am - 2:00 pm,CLOSED,CLOSED,4:30 pm - 6:30 pm,CLOSED,CLOSED,9:00 am - 1:00 pm,39,307,BK40 /,500.01,10,44,20,72,-73.977358,40.648198,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xF9\x9E\x91\x08\x8D~R\xC0\x94\xAA\xED&\xF8RD@
B409-GT001,Amazing Garden,DPR,Brooklyn,265 Columbia Street,At Carroll Street,11231,3003480002,1500.0,Full Lot,Active,10:00 am - 3:00 pm,CLOSED,CLOSED,CLOSED,10:00 am - 3:00 pm,10:00 am - 3:00 pm,10:00 am - 3:00 pm,39,306,BK33 /,51.0,10,52,26,76,-74.003371,40.683083,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00O\xB0\xFF:7\x80R\xC0\x0C\xBA\x84CoWD@
B245-GT001,Garden Kitchen Lab at St. John's Rec.,DPR,Brooklyn,1251 Prospect Place,Troy and Schenectady Ave.,11213,3013530001,900.0,Partial Lot,Not GreenThumb,,,,,,,,36,308,BK61 /,345.0,9,56,20,77,-73.934756,40.674369,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00Xo\xD4\x0A\xD3{R\xC0\xD670\xB9QVD@
B224A-GT001,Citizens for a Better Community Garden,DPR,Brooklyn,742 Monroe Street,Monroe St. & Madison St.,11221,3016430001,,,Active,,,,,,,10:00 am - 06:00 pm,41,303,BK35 /,385.0,8,56,25,81,-73.926698,40.687841,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x001\xD1 \x05O{R\xC0\x8A\xEC\x83,\x0BXD@"
B058-GT001,Green Dome,DPR,Brooklyn,229 North 12th Street,Driggs and Union (On McArren Square),11211,3026960001,6095.0,Partial Lot,Active,11:00 a.m. - 4:00 p.m.,9:00 a.m. - 10:00 a.m. & 3:00 p.m. - 4:00 p.m.,CLOSED,CLOSED,5:00 p.m. - 6:00 p.m.,5:00 p.m. - 7:00 p.m.,CLOSED,33,301,BK73 /,515.0,7,50,59,94,-73.952969,40.719516,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x84F\xB0q\xFD|R\xC0qy\xAC\x19\x19\x5CD@
B047A-GT001,Highland Park Community Garden,DPR,Brooklyn,400 Jamaica Avenue,Ashford & Warwick,11208,3038890001,17440.0,,Active,CLOSED,CLOSED,CLOSED,10:00 a.m. - 3:00 p.m.,CLOSED,CLOSED,10:00 a.m. to 3:00 p.m.,37,305,BK83 /,1172.01,7,54,18,75,-73.887645,40.682589,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00O]\xF9,\xCFxR\xC0\x00\xCE\x8B\x13_WD@"
BGT036,Gil Hodges (Carroll Street Garden),NYRP,Brooklyn,534 Carroll Street,Carroll St. and Denton Place,11215,3004560014,,,Active,,,,,,,,39,306,BK37 /,119.01,10,52,26,78,-73.984765,40.676273,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xB5O\xC7c\x06\x7FR\xC0|\x15\x19\x1D\x90VD@
B451-GT001,Clifton Place Memorial Garden & Park,DPR,Brooklyn,1031 Bedford Avenue,Clifton Pl. & Greene Avenue,11216,3017930009,,,Active,CLOSED,6:00 p.m. - 8:00 p.m.,6:00 p.m. - 8:00 p.m.,6:00 p.m. - 8:00 p.m.,6:00 p.m. - 8:00 p.m.,6:00 p.m. - 8:00 p.m.,10:00 a.m. - 2:00 p.m. & 4:00 p.m. - 8:00 p.m.,36,303,BK75 /,243.0,8,57,25,79,-73.954653,40.6886,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xCF\x81\xE5\x08\x19}R\xC0H\x03x\x0B$XD@
B470-GT001,Granite Street Community Garden,DPR,Brooklyn,30 Granite Street,Bushwick Ave & Broadway,11207,3034610019,,,Active,3:00p - 7:00p,,,,,4:00p - 7:00p,1:00p - 7:00p,37,304,BK78 /,405.0,7,54,18,83,-73.907602,40.68239,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x001\xF2\xB2&\x16zR\xC0\x08\x8F6\x8EXWD@
QGT029,Mujeres en Movimento Huerto Comunitario,DOT,Queens,55-25 Van Cleef Street,120th Avenue,11368,4019620026,1058.0,Full Lot,Not GreenThumb,,,,,,,,21,404,QN25 /,439.0,14,35,13,110,-73.852752,40.740967,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00O\xE6\x1F}\x93vR\xC0#5\xB4\x01\xD8^D@
QGT019,M.S. 210 - YMCA Beacon Center Garden,DOE,Queens,93-11 101 AVENUE,93rd & 94th streets,11416,4090670001,,,Not GreenThumb,,,,,,,,32,409,QN53 /,38.0,5,38,15,102,-73.847633,40.684761,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xAA\x80{\x9E?vR\xC0\xC3I\x9A?\xA6WD@
Q495-GT001,97th Street Community Garden,DPR,Queens,33-28 97th Street,Northern Boulevard & 34th Avenue,11368,4017110021,,,Active,10:00 a.m..- 1:00 p.m.,10:00 a.m..- 1:00 p.m.,4:00 p.m..- 6:00 p.m.,4:00 p.m..- 6:00 p.m.,4:00 p.m..- 6:00 p.m.,4:00 p.m..- 6:00 p.m.,10:00 a.m..- 1:00 p.m.,21,403,QN26 /,375.02,14,35,13,115,-73.871437,40.756146,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x8F\xE1\xB1\x9F\xC5wR\xC0(\x80bd\xC9`D@
Q484-GT002,Far Rock Urban Agro-Education Center,DPR,Queens,378 Beach 45th Street,corner of Beach Channel Drive,11691,4158370051,4284.0,,Active,CLOSED,9:00a - 12:30p & 1:30p - 3:00p,9:00a - 12:30p & 1:30p - 3:00p,9:00a - 12:30p & 1:30p - 3:00p,9:00a - 12:30p & 1:30p - 3:00p,9:00a - 12:30p & 1:30p - 3:00p,9:00a - 12:30p & 1:30p - 3:00p,31,414,QN12 /,972.04,5,31,10,101,-73.776495,40.595195,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00{\xA0\x15\x18\xB2qR\xC0\x10\xDF\x89Y/LD@
QGT015,Pembroke/Van Nostrand Court Garden,NYRP,Queens,253-15 Pembroke Avenue,254th St. & Little Neck Pkwy.,11362,4082610081,,,Active,7:00a - 7:00p,7:00a - 7:00p,7:00a - 7:00p,7:00a - 7:00p,7:00a - 7:00p,7:00a - 7:00p,7:00a - 7:00p,19,411,QN45 /,1507.02,3,26,11,111,-73.734672,40.770898,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00]R\xB5\xDD\x04oR\xC0\xA4F!\xC9\xACbD@
M313-GT001,6BC Botanical Garden,DPR,Manhattan,624 East 6th Street,Avenues B & C,10009,1003870122,3445.0,Full Lot,Active,12:00 p.m. - 6:00 p.m.,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00 p.m. - 6:00 p.m.,2,103,MN28 /,26.01,10,74,27,9,-73.980742,40.723869,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x13\xF4\x17z\xC4~R\xC0L\xCBH\xBD\xA7\x5CD@
X361-GT001,Synergi Urban Garden,DPR,Bronx,1211 Hoe Avenue,Home Street & Freeman Street,10459,2029790035,2100.0,Full Lot,Active,9:00 a.m. - 2:00 p.m.,,8:00 a.m. - 1:00 p.m.,,,1:00 p.m. - 5:00 p.m.,10:00 a.m. - 4:00 p.m.,17,203,BX35 /,125.0,15,85,32,42,-73.89113,40.829124,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x02\x9F\x1FF\x08yR\xC0\x13*8\xBC jD@
BGT173,Stockholm Street Garden,NYPD (DPR),Brooklyn,143 Stockholm St,Myrtle Avenue & Wilson Avenue,11221,3032450039,5000.0,Full Lot,Active,11:00 a.m. - 5:00 p.m.,CLOSED,5:00 p.m. - 7:00 p.m.,CLOSED,5:00 p.m. - 7:00 p.m.,CLOSED,CLOSED,37,304,BK78 /,421.0,7,53,18,83,-73.923653,40.698978,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x8C\xF6x!\x1D{R\xC0\xCDOq\x1CxYD@
BGT081,Go Vertical,PRI,Brooklyn,479 Milford Street,Dumont Ave & Hegeman Ave,11208,3044570043,2333.0,Full Lot,Active,,,,,,,,42,305,BK82 /,1118.0,8,60,19,75,-73.874329,40.667523,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00q<\x9F\x01\xF5wR\xC0\xF5)\xC7dqUD@
B486-GT001,Green Valley Garden,DPR,Brooklyn,93 New Lots Avenue,Powell Street and Sachman Street,11212,3038570027,1509.0,Full Lot,Active,,10:00 a.m. - 1:00 p.m.,10:00 a.m. - 1:00 p.m.,10:00 a.m. - 1:00 p.m.,10:00 a.m. - 1:00 p.m.,10:00 a.m. - 1:00 p.m.,10:00 a.m. - 1:00 p.m.,42,316,BK81 /,920.0,8,55,19,73,-73.901811,40.658185,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x13\x0B|E\xB7yR\xC0\xE0\xDB\xF4g?TD@
B515-GT001,ENY Youth Farm,DPR,Brooklyn,620 Schenck Avenue,At Livonia,11207,3040890013,,,Active,CLOSED,CLOSED,11:00 a.m. to 3:00 p.m.,11:00 a.m. to 3:00 p.m.,11:00 a.m. to 3:00 p.m.,11:00 a.m. to 3:00 p.m.,11:00 a.m. to 2:00 p.m.,42,305,BK82 /,1124.0,8,60,19,75,-73.886831,40.665272,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x0E\x85\xCF\xD6\xC1xR\xC0\xE4x\x05\xA2\x27UD@
Q484-GT001,Edgemere Farm,DPR,Queens,385 Beach 45th Street,Beach Channel Dr. & Rockaway Beach Blvd.,11691,4158370041,2850.0,,Active,CLOSED,CLOSED,CLOSED,9:00 a.m.- 1:00 p.m.,9:00 a.m. - 1:00 p.m.,9:00 a.m. - 1:00 p.m.& 3:00 p.m. - 7:00 p.m.,9:00 a.m. - 1:00 p.m.,31,414,QN12 /,972.04,5,31,10,101,-73.776744,40.595017,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00OWw,\xB6qR\xC02\xC8]\x84)LD@"
B517-GT001,Phoenix Community Garden,DPR,Brooklyn,16 Somers Street,Corner of Fulton & Somers,11233,3015410007,1060.0,Full Lot,Active,11:00 a.m. - 3:00 p.m.,CLOSED,CLOSED,CLOSED,5:00 p.m. - 7:00 p.m.,CLOSED,11:00 a.m. - 4:00 p.m.,41,316,BK79 /,371.0,8,55,25,73,-73.912521,40.67859,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00r\xFAz\xBEfzR\xC0B\xB2\x80\x09\xDCVD@
RGT009,Olivet Heavenly Harvest,PRI,Staten Island,97 Myrtle Avenue,,10310,5001820001,3750.0,Partial Lot,Active,,,,,,,,49,501,SI35 /,105.0,11,63,23,120,-74.115963,40.630199,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xF2\x22\x13\xF0k\x87R\xC0h|_\x5C\xAAPD@
MGT027,Papo's Garden,MLT,Manhattan,220 E. 119th Street,2nd & 3rd,10035,1017830038,,,Active,,,,,,,,8,111,MN34 /,188.0,13,68,29,25,-73.937696,40.799249,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xC3e\x156\x03|R\xC0+.\x8E\xCAMfD@
MGT011,Lucille McClarey Wicked Friendship Garden,NYRP,Manhattan,499 West 150th Street,,10031,1020820127,,,Active,,,,,,,,7,109,MN04 /,237.0,13,71,30,30,-73.945654,40.828797,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x009\xD5Z\x98\x85|R\xC0\xEE\x02%\x05\x16jD@
MGT003,Hope Steven Garden,MLT,Manhattan,1656 Amsterdam Avenue,142nd St & Hamilton Pl & Amsterdam Avenue,10031,1020740029,,,Active,,,,,,,,7,109,MN04 /,229.0,13,71,30,30,-73.949275,40.823554,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00D\xFA\xED\xEB\xC0|R\xC0\xB9>\xAC7jiD@
M397-GT001,11 BC Serenity Garden,DPR,Manhattan,626 East 11th Street,Avenues B & C,10009,1000393020,2370.0,Full Lot,Active,9-5p,,,,,,9-5p,2,103,MN28 /,28.0,10,74,27,9,-73.978464,40.726805,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x0E\x14x\x27\x9F~R\xC0\xDF\xC8<\xF2\x07]D@
M394-GT001,St. Nicholas Miracle Garden,DPR,Manhattan,330 Saint Nicholas Avenue,126th and 127th Street,10027,1019530044,,,Active,12:00 a.m. - 5:00 p.m.,,1:00 p.m. - 6:00 p.m.,,2:00 p.m. - 7:00 p.m.,,11:00 a.m. - 4:00 p.m.,9,110,MN03 /,215.0,13,70,30,28,-73.951434,40.811676,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x5C\x93nK\xE4|R\xC0\x5Cy\xC9\xFF\xE4gD@
M393-GT001,Oasis Community Garden,DPR/PRI,Manhattan,505 West 52nd Street,10th & 11th Avenue,10019,1010810026,,,Active,12:00 p.m. - 4:00 p.m & 2:00 p.m. - 4:00 p.m.,CLOSED,12:00 p.m. - 2:00 p.m.,4:00 p.m.-  6:00 p.m.,CLOSED,CLOSED,12:00 p.m. - 2:00 p.m. & 2:00 p.m. - 4:00 p.m.,3,104,MN15 /,135.01,12,67,47,18,-73.991228,40.76631,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00J\xB8\x90Gp\x7FR\xC0\x83L2r\x16bD@
M389-GT001,El Barrio Community Garden,DPR,Manhattan,415 East 117th Street,1st Avenue & E 117th St,10035,1017110008,,,Active,10:00 a.m. - 5:00 p.m.,9:00 a.m. - 7:00 p.m.,9:00 a.m. - 7:00 p.m.,9:00 a.m. - 7:00 p.m.,9:00 a.m. - 7:00 p.m.,9:00 a.m. - 7:00 p.m.,CLOSED,8,111,MN34 /,178.0,13,68,29,25,-73.934047,40.796563,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00S{\x11m\xC7{R\xC0\x12\x1A\xC1\xC6\xF5eD@
M384-GT001,Pueblo Unido,DPR,Manhattan,1659 Madison Avenue,E 110th & E 111th,10029,1016160053,,,Inactive (No Group),,10:00a - 12:00p,10:00a - 11:00p,12:00p - 1:00p,,11:00a - 1:00p,3:00p - 5:00p,8,111,MN33 /,174.02,13,68,29,23,-73.947114,40.796399,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x5C\xE5\x09\x84\x9D|R\xC0\x96\xC8\x05g\xF0eD@
M373-GT001,La Perla Community Garden,DPR/MLT,Manhattan,76 W. 105th Street,Columbus & Manhattan,10025,1018400063,,,Active,2:00 p.m. - 4:00 p.m.,2:00 p.m. - 5:00 p.m.,2:00 p.m. - 5:00 p.m.,2:00 p.m. - 5:00 p.m.,2:00 p.m. - 5:00 p.m.,2:00 p.m. - 5:00 p.m.,12:00 p.m. - 4:00 p.m.,7,107,MN12 /,189.0,13,69,30,24,-73.963062,40.798181,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00M\x81\xCC\xCE\xA2}R\xC0\xF2\xA4\x85\xCB*fD@
M372-GT001,Le Petit Versailles Garden,DPR,Manhattan,247 East 2nd Street,Avenues B & C,10009,1003840028,,,Active,2:00 p.m. - 7:00 p.m.,AS WEATHER PERMITS,AS WEATHER PERMITS,AS WEATHER PERMITS,2:00 p.m. - 7:00 p.m.,2:00 p.m. - 7:00 p.m.,2:00 p.m. - 7:00 p.m.,2,103,MN28 /,22.02,10,65,27,9,-73.981792,40.721133,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00]\xDE\x1C\xAE\xD5~R\xC0~\x88\x0D\x16N\x5CD@
M370-GT001,Sam & Sadie Koenig Garden,DPR,Manhattan,237 E. 7th Street,Avenues C & D,10009,1003770069,1470.0,Full Lot,Active,7:00 a.m. -  5:00 p.m.,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,7:00 a.m. - 5:00 p.m.,2,103,MN28 /,26.02,10,74,27,9,-73.978343,40.724094,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00PQ\xF5+\x9D~R\xC0k\x9D\xB8\x1C\xAF\x5CD@
M368-GT001,The Julia Gabriel People's Garden,DPR,Manhattan,1039 Amsterdam Avenue,at 111th Street,10025,1018830028,,,Active,9:00 a.m. - 5:00 p.m.,9:00 a.m. - 5:00 p.m.,9:00 a.m. - 5:00 p.m.,9:00 a.m. - 5:00 p.m.,9:00 a.m. - 5:00 p.m.,9:00 a.m. - 5:00 p.m.,9:00 a.m. - 5:00 p.m.,7,109,MN09 /,197.01,13,69,30,26,-73.963207,40.803857,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xCF\x11\xF9.\xA5}R\xC0\x92\xD4B\xC9\xE4fD@
M351-GT001,Joseph Daniel Wilson Memorial Gardens,DPR,Manhattan,219 W. 122nd Street,Adam Clayton Powell / Frederick Douglass Blvd (7th & 8th),10027,1019280023,,,Active,10:00 a.m. - 7:00 p.m.,CLOSED,CLOSED,CLOSED,10:00 a.m. - 7:00 p.m.,CLOSED,10:00 a.m. - 7:00 p.m.,9,110,MN11 /,222.0,13,70,30,28,-73.950533,40.807621,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x0031]\x88\xD5|R\xC0\x0AH\xFB\x1F`gD@
M336-GT001,De Colores Community Yard & Cultural Center,DPR,Manhattan,313 E 8th Street,Avenues B & C,10009,1003910053,,,Active,12:00 p.m. - 5:00 p.m.,,,,,,12:00 p.m. - 5:00 p.m.,2,103,MN28 /,26.02,10,74,27,9,-73.97971,40.725436,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x1Bd\x92\x91\xB3~R\xC0\xA8\xAB;\x16\xDB\x5CD@
M311-GT001,Green Oasis Community Garden / Gilbert's Garden,DPR,Manhattan,372 East 8th Street,Avenues C & D,10009,1003770022,,,Active,11:00 a.m. - 5:00 p.m.,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,11:00 a.m. - 5:00 p.m.,2,103,MN28 /,26.02,10,74,27,9,-73.97756,40.724085,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00-x\xD1W\x90~R\xC0\x13C9\xD1\xAE\x5CD@
M305-GT001,Collyer Brothers Park Garden,DPR,Manhattan,2078 5th Avenue,128th Street,10027,1017260033,1500.0,Full Lot,Inactive (Group Forming),,,,,,,,9,110,MN03 /,208.0,13,70,30,32,-73.941061,40.808542,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xA1\xA2\xEAW:|R\xC0\xA0\xB8\xE3M~gD@
M293-GT001,6th Street & Avenue B Garden,DPR,Manhattan,84 Avenue B,At E. 6th Street,10009,1004010037,,,Active,1:00 p.m. - 6:00 p.m. & TBA Evening Events,CLOSED,CLOSED,CLOSED,CLOSED,TBA Evening Events,1:00 p.m. - 6:00 p.m. & TBA Evening Events,2,103,MN22 /,32.0,10,74,27,9,-73.982041,40.724308,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x001\x95~\xC2\xD9~R\xC0\x97\x1D\xE2\x1F\xB6\x5CD@
XGT049,Linden Bushwick - Calvary Methodist Church,PRI,Bronx,1885 UNIVERSITY AVENUE,W. Burnside & W. Tremont,10453,2028790035,,,Not GreenThumb,,,,,,,,14,205,BX36 /,245.01,13,86,31,46,-73.913724,40.852621,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x80d:tzzR\xC0\xFEpW\xAF\x22mD@
XGT040,The William Rainey Garden,BLT,Bronx,685 Beck Street,"Leggett Street & Avenue, Street John",10455,2026850061,,,Active,1:00 p.m. - 4:00 p.m.,1:00 p.m. - 4:00 p.m.,1:00 p.m. - 4:00 p.m.,1:00 p.m. - 4:00 p.m.,1:00 p.m. - 4:00 p.m.,1:00 p.m. - 4:00 p.m.,1:00 p.m. - 4:00 p.m.,17,202,BX33 /,83.0,14,84,29,41,-73.901106,40.815077,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xAE\x0E\x80\xB8\xAByR\xC0e\x5CqqThD@
XGT030,Paradise on Earth Community Garden,NYRP,Bronx,1105 Fox Street,East 167th Street,10459,2027180053,,,Active,,,,,,,,17,202,BX35 /,125.0,14,85,32,41,-73.894169,40.826741,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x006\x06\x9D\x10:yR\xC0\x95\xA1*\xA6\xD2iD@
XGT028,Mildred T. Rhodebeck Garden (Garden of Eden),NYRP,Bronx,927 Faile Street,N/W corner of Bruckner Boulevard & Faile Street,10459,2027460053,,,Active,,,,,,,,17,202,BX27 /,119.0,14,85,32,41,-73.889647,40.821509,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x02\x7F\xF8\xF9\xEFxR\xC0Q/\xF84\x27iD@
XGT012,Drew Garden,NYSDOT,Bronx,1059 East Tremont Avenue,west of E. 177th Street & BX River,10460,2030218900,,,Not GreenThumb,,,,,,,,15,206,BX17 /,361.0,14,87,32,48,-73.879312,40.840094,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xBE\xBE\xD6\xA5FxR\xC0o\xC8?3\x88kD@
XGT010,Belmont Little Farmers,BLT,Bronx,2485 Belmont Avenue,E. 189th Street & E. Fordam Rd.,10458,2030780069,,,Active,,,,,,,,15,206,BX06 /,389.0,15,78,33,48,-73.884668,40.857012,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00V\xF4\x87f\x9ExR\xC0\xC9#\xB8\x91\xB2mD@
